Index(T&L),Token-00,Token-01,Token-02,Token-03,Token-04,Token-05,Token-06,Token-07,Token-08,Token-09,Token-10,Token-11,Token-12,Token-13,Token-14,Token-15,Token-16,Token-17,Token-18,Token-19,Token-20,Token-21,Token-22,Token-23,Token-24,Token-25,Token-26,Token-27,Token-28,Token-29,Token-30,Token-31
Layer-00,'< is>','< a>','< type>','< of>','< artificial>','< intelligence>','< that>','< can>','< understand>','< and>','< process>','< a>','< large>','< amount>','< of>','< text>','<.>','< It>','< is>','< used>','< in>','< various>','< fields>','< such>','< as>','< healthcare>',"'<,>'",'< finance>',"'<,>'",'< and>','< education>','<.>'
Layer-01,'< only>','< well>','< type>','<.norm>','<growth>','<e>','< avoid>',"""<'t>""",'< understand>','</or>','<process>','< unique>','<-sized>','<ifies>','< output>','<text>','< based>','< worked>','< just>','<holder>','< both>','<ly>','< fields>','< such>','< both>','<sheets>','< especially>','<orch>','< under>','</or>','<-wise>','< based>'
Layer-02,'< often>','< craft>','<type>','< enabling>','<ative>','<learning>','< directly>',"""<'t>""",'<ably>','</or>','<sing>','< few>','<-scale>','<ments>','<userinfo>','<ings>','< both>','<ting>','< often>','<holder>','< both>','<ity>','< fields>','<s>','< both>','<waves>','< especially>','<和发展>','< related>','< related>','<-wise>','< while>'
Layer-03,'< structured>','< complex>','<-type>','< complex>','<idade>','<acht>','<n>',"""<'t>""",'<ably>','</or>','<forward>','< few>','<-scale>','<wide>','<uce>','<sc>','< effectively>','<ting>','< widely>','<holder>','< various>','<ity>','< fields>','<s>','< critical>','<able>','< especially>','<和发展>','< not>','< related>','<ally>','< effectively>'
Layer-04,'< often>','< unique>','<-type>','<ıld>','<engineering>','<ension>','<n>','<less>','<ub>','</or>','< processes>','< \u200b\u200b>','<-scale>','<wide>','< data>','<book>','< effectively>','< built>','< widely>','<less>','<uit>','<iating>','<already>','< \u200b\u200b>','< related>','<able>','< and>','<arend>','< and>','< subject>','<ally>','< effectively>'
Layer-05,'< subject>','< unique>','<-type>','< und>','<-made>','<acht>','<n>','< easily>','<ability>','</or>','<process>','< few>','<-scale>','<-needed>','< data>','<book>','< based>','< also>','< subject>','<less>','< both>','<iating>','<join>','< \u200b\u200b>','< myself>','<able>','< and>','<융>','< and>','</or>','<chool>','< based>'
Layer-06,'< subject>','< unique>','<type>','< field>','<strong>','<-based>','<n>','< easily>','<ability>','</or>','<st>','< few>','<-scale>','<es>','< data>','<views>','< based>','<ting>','< widely>','<heit>','<uit>','<iability>','<assist>','< \u200b\u200b>','< defined>','<able>','< as>','<和发展>','< a>','< even>','<scape>','< based>'
Layer-07,'< both>','< field>','<ially>','< field>','<-made>','<-based>','<n>','< easily>','<ability>','</or>','<output>','< few>','<-scale>','<-needed>','< data>','<ural>','< based>','<ting>','< widely>','<bring>','<uit>','<iability>','<light>','<enheim>','< field>','<scape>','< and>','<융>','< and>','< even>','<scape>','< based>'
Layer-08,'< a>','< commonly>','<mented>','<็น>','<-made>','<erg>','< specifically>','< directly>','<ability>','</or>','<ive>','< entire>','<-scale>','<s>','< data>','<ural>','< specifically>','< built>','< often>','<bring>','<uit>','<iability>','<places>','< \u200b\u200b>','< academic>','<st>','< where>','<-risk>','< and>','< even>','<scape>','< particularly>'
Layer-09,'< a>','<comp>','< of>','<ep>','<-made>','<erg>','< specifically>','< directly>','<ably>','</or>','<ign>','<ism>','<-scale>','<s>','< data>','<ural>','< specifically>','< built>','< often>','<bring>','< both>','<iability>','<places>','< er>','< industry>','<cr>','< and>','</business>','< and>','< even>','<chool>','< especially>'
Layer-10,"'<,>'",'< inherently>','< of>','<art>','<-made>','<学家>','<n>',"""<'t>""",'<ably>','</or>','<ign>','< specific>','<-scale>','<es>','< data>','<ural>','< and>','<iner>','< designed>','<bring>','< both>','<iability>','<ill>','<land>','< social>','<immune>','< and>','<ational>','< and>','< even>','<chool>','< and>'
Layer-11,'< inherently>','<iders>','< of>','<____>','<-made>','<-based>','<n>','< easily>','<ability>','</or>','<st>','< significant>','<-scale>','<es>','<st>','<enable>','< It>','< fundamentally>','< generally>','<bring>','< everyday>','< ranging>','<places>','<�>','< social>','<cr>','< and>','< and>','< and>','< even>','<scape>','< However>'
Layer-12,'< inherently>','<iders>','< of>','<ied>','<-made>',"'<,>'",'< characterized>','< independently>','<ability>','</or>','<st>','< few>','<-scale>','<rex>','<ses>','<sc>','< It>','<vers>','< theoretically>','<bring>','< everyday>','<\r\n>','< where>','< \u200b\u200b>','< social>','<cr>','< and>','< and>','< and>','</or>','<scape>','< According>'
Layer-13,'< generally>','<iders>','< of>','< thing>','<-made>',"'<,>'",'< characterized>','< either>','<ability>','</or>','<st>','< different>','<-scale>','<es>','< und>','<elligence>','< \n>','< generally>','< theoretically>','<bring>','< both>','<\r\n>','<cope>','< \u200b\u200b>','< field>','<cr>','< and>','< and>','< and>','</or>','<scape>','< \n>'
Layer-14,'< inherently>','<iders>','< of>','<art>','<-made>',"'<,>'",'< developed>',"""<'t>""",'<ability>','</or>','<st>','<int>','<-scale>','< of>','<st>',"'<,>'",'<\xa0>','< developed>','< also>','<bring>','< various>','<\r\n>','< including>','< of>','< field>','<cr>','< and>','< and>','< and>','</or>','<scape>','< \n>'
Layer-15,'< a>','< inherently>','< of>',"'<"">'",'<-made>',"'<,>'",'< developed>',"""<'t>""",'< and>','</or>','<st>','< different>','<-scale>','< of>','<st>',"'<,>'",'< It>','<elligence>','< also>','<bring>','< various>','<\r\n>','< such>','< such>','< social>','< and>','< and>','< and>','< and>','</or>','<scape>','< It>'
Layer-16,'< not>','< fundamental>','< of>',"'<"">'",'<-made>','<-based>','< characterized>',"""<'t>""",'< and>','</or>','<ability>','< entire>','<-scale>','< of>','< knowledge>',"'<,>'",'< \n>','<elligence>','< also>','<bring>','< various>','<\r\n>','<ervices>','< such>','< social>',"'<,>'",'< and>','< and>','< and>','</or>','< alike>','< \n>'
Layer-17,'< a>','< complex>','< of>',"'<"">'",'<-made>','<-man>','< characterized>',"""<'t>""",'< and>','</or>','<ive>','< complex>','<-scale>','< of>','< fine>',"'<,>'",'< \n>','<izens>','< also>','<bring>','< various>','<\r\n>','< including>','< \u200b\u200b>','< healthcare>',"'<,>'",'< and>','< and>','< etc>','</or>','<;>','< \n>'
Layer-18,'< a>','< complex>','< of>','<____>','<-made>',"'<,>'",'< have>',"""<'t>""",'< and>','</or>','< complex>','< very>','<-scale>','< of>','< data>',"'<,>'",'< \n>','< also>','< also>','< by>','< various>','< ways>','< including>','< \u200b\u200b>','< healthcare>',"'<,>'",'< etc>','< and>','< etc>','</or>','<.>','< \n\n>'
Layer-19,'< a>','< complex>','< of>','<____>','<-made>',"'<,>'",'< have>',"""<'t>""",'< and>','</or>','< complex>','< large>','< enough>','< of>','< information>',"'<,>'",'< \n>','< also>','< also>','< by>','< various>','< ways>','< including>','< \u200b\u200b>','< healthcare>','< and>','< and>','< and>','< and>','< others>','<.>','< However>'
Layer-20,'< not>','< complex>','< of>','< ______>','<-made>','< that>','< can>','< independently>','< and>','</or>','< complex>','< large>','< enough>','< of>','< information>',"'<,>'",'< It>','< also>','< often>','< to>','< various>','< industries>','< such>','< \u200b\u200b>','< medicine>',"'<,>'",'< education>',"'<,>'",'< and>','< education>','<等多个>','< However>'
Layer-21,'< a>','< type>','< of>','< ______>','<-made>','< that>','< can>','<____>','< and>','</or>','< complex>','< large>','< number>','< of>','< information>',"'<,>'",'< It>','< can>','< also>','< to>','< various>','< industries>','< such>','< \u200b\u200b>','< healthcare>',"'<,>'",'< education>',"'<,>'",'< and>','< even>','<.>','< However>'
Layer-22,'< a>','< powerful>','< of>','< machine>','< intelligence>','< that>','< can>','< language>','< and>','</or>','< information>','< large>','< amount>','< of>','< information>','<.>','< It>','< can>','< also>','< to>','< various>','< applications>','< such>','< as>','< communication>',"'<,>'",'< finance>',"'<,>'",'< and>','< more>','<.>','< However>'
Layer-23,'< a>','< powerful>','< of>','< machine>','< intelligence>','< that>','< can>','< quickly>','< and>','< understand>','< information>','< large>','< amount>','< of>','< information>','< information>','< However>','< can>','< also>','< to>','< many>','< industries>','< such>','< as>','< healthcare>',"'<,>'",'< finance>',"'<,>'",'< and>','< education>','<.>','< However>'
Layer-24,'< a>','< type>','< of>','< machine>','< intelligence>','< that>','< can>','< access>','< and>','< respond>','< information>','< large>','< amount>','< of>','< information>','< information>','< It>','< can>','< capable>','< in>','< various>','< applications>','< such>','< as>','< language>',"'<,>'",'< finance>',"'<,>'",'< and>','< education>','<.>','< However>'
Layer-25,'< a>','< type>','< of>','< machine>','< intelligence>','< that>','< can>','< access>','< and>','< interact>','< language>','< large>','< amount>','< of>','< language>','< information>','< It>','< can>','< often>','< to>','< various>','< applications>','< such>','< as>','< language>',"'<,>'",'< education>',"'<,>'",'< education>','< education>','<.>','< However>'
Layer-26,'< a>','< type>','< of>','< machine>','< intelligence>','< that>','< can>','< access>','< and>','< generate>','< information>','< large>','< amount>','< of>','< information>','< information>','< It>','< has>','< used>','< to>','< various>','< applications>','< such>','< as>','< language>',"'<,>'",'< education>',"'<,>'",'< and>','< education>','<.>','< However>'
Layer-27,'< a>','< type>','< of>','< machine>','< intelligence>','< that>','< can>','< process>','< and>','< process>','< a>','< large>','< amount>','< of>','< text>','<.>','< It>','< can>','< also>','< in>','< various>','< fields>','< such>','< as>','< natural>',"'<,>'",'< finance>',"'<,>'",'< and>','< education>','<.>','< However>'
Layer-28,'< a>','< type>','< of>','< artificial>','< intelligence>','< that>','< can>','< understand>','< and>','< process>','< a>','< large>','< amount>','< of>','< text>','<.>','< It>','< is>','< used>','< in>','< various>','< fields>','< such>','< as>','< healthcare>',"'<,>'",'< finance>',"'<,>'",'< and>','< education>','<.>','< However>'
SameCnt,7,4,19,0,6,8,8,0,13,1,1,9,6,14,1,1,4,0,0,1,4,1,8,6,0,8,1,8,2,5,7,9
